사용월,호선명,지하철역,07:00:00~07:59:59,,08:00:00~08:59:59,
,,,승차,하차,승차,하차
2023-03,분당선,매교,"21,624","5,456","21,878","16,091"
2023-03,일산선,원흥,"52,808","7,057","55,548","17,448"
2023-03,일산선,지축,2,0,1,0
2023-03,일산선,삼송,"89,780","18,452","85,596","32,099"
2023-03,일산선,원당,"48,882","8,643","49,863","13,858"
2023-03,일산선,화정,"59,131","12,962","59,366","33,401"
2023-03,일산선,대곡,"10,328","3,004","9,343","3,500"
2023-03,일산선,백석,"24,227","13,456","25,347","27,390"
2023-03,일산선,마두,"17,458","8,074","18,538","22,852"
2023-03,일산선,정발산,"9,269","6,288","10,607","21,772"
2023-03,일산선,주엽,"30,056","7,390","30,407","15,735"
2023-03,일산선,대화,"69,393","14,583","50,363","19,321"
2023-03,중앙선,회기,"62,474","33,412","84,226","77,074"
2023-03,중앙선,중랑,"25,499","3,182","23,546","6,598"
2023-03,중앙선,상봉(시외버스터미널),"23,899","5,113","26,734","8,005"
2023-03,중앙선,망우,"33,401","6,137","27,725","15,402"
2023-03,중앙선,양원,"15,546","9,625","11,634","6,774"
2023-03,중앙선,구리,"64,955","9,617","55,692","20,769"
2023-03,중앙선,도농,"68,821","9,443","47,931","17,336"
2023-03,중앙선,양정,"1,772","1,785","1,499","2,277"
2023-03,중앙선,덕소,"27,350","3,509","22,403","7,635"
2023-03,중앙선,도심,"14,923","1,760","9,552","6,767"
2023-03,중앙선,팔당,"1,697","1,641","1,291","3,331"
2023-03,중앙선,운길산,"1,703",589,"2,066","1,288"
2023-03,중앙선,양수,"7,196","2,078","4,870","3,933"
2023-03,중앙선,신원,537,578,373,386
2023-03,중앙선,국수,"2,797",727,"2,093","2,176"
2023-03,중앙선,아신,"1,997",477,"1,636","1,147"
2023-03,중앙선,오빈,861,334,"1,148",842
2023-03,중앙선,양평,"9,301","3,926","6,773","8,173"
2023-03,중앙선,원덕,"1,002",407,"1,207",563
2023-03,중앙선,용문,"4,278","2,906","4,850","3,426"
2023-03,중앙선,지평,352,238,204,250
2023-03,장항선,봉명,"2,549","3,791","3,098","4,530"
2023-03,장항선,쌍용(나사렛대),"7,688","1,737","9,587","9,659"
2023-03,장항선,아산,"7,977","6,215","9,988","11,557"
2023-03,장항선,탕정,"4,725","2,046","4,272","3,248"
2023-03,장항선,배방,"4,288","1,449","3,966","2,192"
2023-03,장항선,온양온천,"10,619","6,425","12,849","8,919"
2023-03,장항선,신창(순천향대),"2,548","3,667","2,142","14,549"
2023-03,경의선,신촌,748,"4,902",550,"6,283"
2023-03,경의선,효창공원앞,"5,735","6,750","8,456","19,566"
2023-03,경의선,서강대,"3,673","3,065","4,235","11,237"
2023-03,경의선,가좌,"25,854","4,617","29,516","12,041"
2023-03,경의선,수색,"3,784","6,044","5,003","20,169"
2023-03,경의선,화전,"4,780","2,134","5,160","11,193"
